Bengali tech product reviews,tech product
"The product is very good . এইটা ১-৭০% পর্যন্ত ৩৫০০-৪৫০০ mA বা 3A তে চার্জ দেয়, ৭০-৯০% ২০০০-২৫০০mA বা 2A , এবং ৯০-১০০ পর্যন্ত ৮০০-১২০০ বা 1A চার্জ দেয়। বক্সে কেবল থাকে না। আমি Oraimo 3A Type C-to C কেবল নিছি। চার্জার কিছুটা গরম হয়। ফোন তেমন একটা গরম হয় না।delivery পেতে ২১ দিন লাগছে।",Adapter
কোয়ালিটিও খুবই ভালো । হতে পেতে মোট 27 দিন লাগচে। 1320 টাকায় পেয়েছি । আমি সন্তুষ্ট। রেকমেন্ড রইলো । ধন্যবাদ সেলারকে/Ugreen এর অফিসিয়াল স্টোরকে ।,Adapter
"আমি পিক্সেল ৬ এর জন্য নিয়েছি। আলহামদুলিল্লাহ ভালই, ৫০/৬০ % পর্যন্ত ফোন একটু হিট হয়, তবে খুব বেশি না। ফুল চার্জ হইতে ১ ঘন্টা ২০/৩০ মিনিট লাগে। বিল্ড কোয়ালিটি একদম প্রিমিয়াম, প্যাকেজিং ও খুব ভালো ছিলো। ডেলিভারি পাইতে ২৫ দিন সময় লেগেছে। চাইলে নিতে পারেন।",Adapter
"২৪ তারিখ সন্ধ্যাতে অর্ডার করেছিলাম। ২৫ তারিখ রাত ৮:৩০ দিকে ডেলিভারিতে প্রোডাক্ট পেয়ে যাই, এক্সপ্রেস ডেলিভারি ছিলো। ফুল চার্জ ১ ঘন্টা ২৫/৩৫ মিনিট এই হয়ে যায়। প্রথম বার চার্জিং এর সময় মোবাইল+এডাপ্টার দুটোই প্রচুর হিট হইছিলো। এর পরে থেকে এতো বেশি হিট হয় নি। আমি পিক্সেল ৬ এর জন্য এই চার্জার টা নিয়েছি।",Adapter
চার্জার কোয়ালিটি অনেক ভালো। পিক্সেল 6 ফুল চার্জ হইতে ১ ঘন্টা 20 -30 মিনিট এর মত লাগে। শুধু চার্জারটা একটু গরম হয়,Adapter
আলহামদুলিল্লাহ। প্রোডাক্ট প্যাকেজিং দেখে আমি খুশি। ইউগ্রীন থেকে যেমনটা আশা করেছিলাম ঠিক সেমনটাই পেয়েছি। এখন চার্জ কেমন হয় সেটা দেখার বিষয়।,Adapter
চার্জারটি খুবই ভালো। আমার S23ultra around 40 minutes-এ 85% চার্জ হয়েছে। কোনো হিটিং ইস্যু হয়নি। আপনারা নিতে পারেন। ১৫ দিনে ডেলিভারি পেয়েছি।,Adapter
"product আসতে ২০ দিন সময় নেয়, চাইনা থেকে আসে, আমার মনে হয় এই কোম্পানির চার্জার কেবল গুলো সবচেয়ে best 100% genuine and best product",Adapter
"দারুন চার্জার। ছোট্ট একটা জিনিস, হাতের তালুতে ধরে যায়। Samsung S series -super fast charging সাপর্ট করছে।",Adapter
খুব ভালো আর দ্রুত চার্জ হয়। আমি আইফোন ১৪ প্রো মাক্স এর জন্য নিয়েছি। চার্জ হতে দেড় ঘন্টার মতো সময় নেয়।হাইলি রেকোমেন্ডেড।,Adapter
"এক একথায় অসাধারণ জিনিস,জোশ।অনেক ধন্যবাদ ইউগ্রীন কে",Adapter
এক কথায় বলতে গেলে অসাদারন। আর আমি সিওর করে বলতে পারতেচি না এতা অরজিনাল কি না। কারন এটা দেখতে আমার আগের অরজিনাল টার মতই সেম। চাজ দিয়াচিলাম ১ গন্টা ৩০ মিনিট লাগচে ফুল চাজ হতে। অরজিনাল এর মতই কাজ করে অনেক্টা।,Adapter
অনেক ভালোমানের চার্জার। দ্রুতই চার্জ হয় গরম হয় না।,Adapter
খুভ ভালো প্রোডাক্ট নিসন্দেহে নিতে পারে ১০দিনের বেশী ব্যাবহার রিভিউ করলাম ফোন গরম হয় না দ্রুত চাজ হয়. তবে হালকা জিন জিন করে ফোন,Adapter
অনেক অনেক ধন্যবাদ product টি পেয়েছি। আশা করছি ভালো হবে। Gift ও পেয়েছি।,Adapter
অকম টাকায় ভালই মনে হচ্ছে। আগে জানলে ২৮০০ টাকায় কিনতাম না।,Adapter
"একদম বাজে প্রোডাক্ট চার্জ হওয়ার কথা তো দূরের উল্টো চার্জ মোবাইল থেকে চলে যাচ্ছে, ফালতু প্রোডাক্ট",Adapter
ভাই কি চারজার দিছেন চাজই হয়না,Adapter
আমার ভালো লেগেছে।,Adapter
ধন্যবাদ। এত ভালো হবে আশা করিনি। এত কমদামী প্রোডাক্ট টা রান করেছে তাই কতো🤗,Dongle
দাম অনুযাী ভালোই। যে কেউ নিতে পারেন।,Dongle
আলহামদুলিল্লাহ যেমন চেয়েছি তেমনই পেয়েছি।,Dongle
Just Wow... এত কম টাকার জিনিস এতটা ভালো হবে আশা করিনি।,Dongle
অল্প দামের মধ্যে ভালো একটি প্রোডাক্ট সবাই নিতে পারেন ভালোই কাজ করছে,Dongle
টাকা অনুযায়ী প্রোডাক্টটা ভালই,Dongle
ভালোই কাজ করছে,Dongle
খুবই ভালো আছে,Dongle
ভাল প্রোডাক্ট,Dongle
দীর্ঘ ৩ মাস দরে ব্যবহার করছি। এটা খুব ভালো প্রডাক্ট। ৩ মাস দরে আমি কোন সমস্যার সম্মুখীন হইনি। আসা করি সামনের দিন গুলিতে এরকম ভালো চলবে।এটা কাজ করে। ধন্যবাদ সেলারকে।,Dongle
দাম হিসাবে আলহামদুলিল্লাহ ভালোই পেয়ছি।,Dongle
ভাল আছে,Dongle
ভালো না পণ্যটি কেউ কিনবেন না। নষ্ট মাল দেয় । শুধু কানেক্টর মোবাইল থেকে ওয়াইফাই রাউটার থেকে কানেক্ট হয় না। আমি রিটার্ন করে দিব। আবারো বললাম কেউ কিনবেন না সাবধান।,Dongle
রিভিউ ভালো দেখে অর্ডার করেছিলাম। হাতে পাওয়ার পরে দেখলাম প্যাকেটের গায়ে 300 mbps লেখা আছে ঠিকি কিন্তু বাস্তবে 72 mbps এর বেশি পাই না। driver update দিয়ে অনেক চেষ্টা করেও এর বেশি হয় না। আমার ধারণা ছিল পুরোপুরি 300 না পাই অন্তত 150 পাবো। তাও হলো না। আমার টাকাটাই অপচয় হয় গেলো।এখন সেলারকে দোষ দিবো নাকি প্রোডাক্ট এর দোষ দিবো? খুব বাজে অভিজ্ঞতা।,Dongle
চলতে চলতে বন্ধ হয়ে যায়। আবার অর্ডারের ১২ দিন পর হাতে পায়ছি। খুব বাজে ডেলিভারি।,Dongle
ভালো কাজ করেনা। খুবই খুবই স্লো কাজ করে।,Dongle
দাম অনুযায়ী প্রোডাক্ট টা ভালো,Dongle
ভালো পণ্য।,Dongle
মোটামুটি খারাপ না। কিন্তুু ৩০০এমবি পিএস লেখা ছিলো।সেটা ভুয়া।মোটেও ৩০০এমবি পিএস না,Dongle
"দাম অনুযায়ী এই ব্লুটুথ এডাপতারটা ১০০% ভালো, পন্য ব্যবহারের প্রায় ২ সপ্তাহ পরে রিভিউ দিচ্ছি।।",Dongle
"খুবই ভাল প্রোডাক্ট, চট্টগ্রামে ৪ দিন লেগেছে ডেলিভারড হতে। Win 11 ইউজ করছি, USB তে লাগানোর সাথে সাথে অটোমেটিক সেট হয়ে যায়। এরপর HT05 কানেক্ট করলাম,সুপারফাস্ট কানেক্ট হয়ে গেল, সাউন্ড কোয়ালিটি ক্রিস্টাল ক্লিয়ার পাচ্ছি, কানেকশন ও যথেষ্ট ভালো,ল্যাটেন্সি কম। এরপর Dareu H101X গেইম্প্যাড কানেক্ট করেছি, সেটিও ফাস্ট কানেক্ট হল এবং সব স্মুথলি কাজ করছে। Overall 8/10।",Dongle
device টা আমার কাছে ভালো লেগেছে। আমার কম্পিউটারে চালিয়ে দেখেছি। ভাল কাজ করছে। এখন দেখি কতদিন চলে। ডেলিভারি ম্যান এবং সেলার ভাল।,Dongle
দাম হিসাবে ঠিক আছে। ৩ দিনের মধ্যে product টা পায়ছি।,Dongle
"ধন্যবাদ দারাজ সেলারকে , ডিভাইস টি খুব ভালো, আপনার কিনতে পারেন",Dongle
প্রোডাক্ট দাম হিসেবে খারাপ না। ভালোই কাজ করতেছে। লিনাক্সেও চলে। তবে ৩-৪মিটার এর মধ্যে কাজ করে এর বাইরে গেলে নেটওয়ার্ক পায় না। TWS আর মোবাইলেও কানেক্ট হচ্ছে। ফাইল সেয়ারিংয়েও একটু সময় লাগছিল। তবে আমি সেটিস্ফায়েড। কোনো অভিযোগ নাই। এখন শুধু কতোদিন চালাইতে পারি সেইটা কথা। যাদের বাজেট কম তারা নিতে পারেন। মোটামুটিভাবে কাজ চালায় নিতে পারবেন।,Dongle
আমার পিসির মাদারবোর্ডের অডিও পোর্টে সমস্যা হয়েছিল।তার জন্য সাউন্ড হচ্ছিলো না। এজন্য আমি Casify Bluetooth Dongle Order করি দারাজ থেকে। এটা চালাচ্ছি।ভালোই চলছে ।সকলে নির্দিধায় নিতে পারেন। ধন্যবাদ দারাজকে ।,Dongle
কম্পিউটার থেকে ফাইল ট্রান্সফারের জন্য এবং কম্পিউটারে ওয়ারলেস হেডফোন কানেক্ট করার জন্য। প্রোডাক্টটি খুবই ভালো।,Dongle
আমি দারাজ থেকে অনেক কিছু কিনেছি তার মধ্যে সবচেয়ে ভালো পেয়েছি এই পন্য।ছবিতে যেমন ছিলো তার থেকেও ভালো।,Dongle
খুব কাজের একটা জিনিস অনেক ভালো লাগছে আমাকে আর খুব তাড়াতাড়ি ডেলিভারি পাইছি ধন্যবাদ দারাজ কে,Dongle
"এই দামে খুবই ভালো প্রোডাক্ট, ১ মাস হলো এখনো কোনো সমস্যা পাইনি।",Dongle
মোটো ভালো না রিটানোর জন্য আবেদন করছি,Dongle
প্রডাক্ট ঠিক ছিল। দাম হিসেবে কাজ করছে ভালো।,Dongle
অসাধারণ একটি প্রোডাক্ট। সবকিছু পারফেকটলি চলছে। ধন্যবাদ দারাজ কে,Dongle
দাম অনুযায়ী বেস্ট প্রোডাক্ট। রেকমেন্ডেড।,Dongle
লিনাক্সে ভালোই কাজ করছে।,Dongle
প্রোডাষ্ট কোয়ালিটি যথেষ্ট ভালোই লেগেছে।,Dongle
অনেক স্লো কাজ করে। আমার ভালো লাগেনি,Dongle
"সেলার ভাই কে অসংখ্য ধন্যবাদ সঠিক প্রোডাক্ট পাঠানোর জন্য ।একদম জেনুইন প্রোডাক্ট, (baseus ব্র্যান্ডিং করা আছে অ্যাডাপটার এ ) । একটা মাস্ক গিফট দিয়েছেন । আন্তরিক ভাবে ধন্যবাদ ভাই। সেলার খুব রেসপনসিভ, সমস্যার সমাধানের চেষ্টা করেছেন খুব দ্রুতই । দারাজ এর প্রতিটি ব্যাবসায়ীর উচিত ঈমানের সঙ্গে ব্যাবসা করা ঠিক হণেস্ট টাইম শপ এর মতই । আল্লাহ আপনাদের মঙ্গল করুক । (আমিন)।",Dongle
"অনেকদিন ধরেই প্রিন্টার কিনবো কিনবো ভাবছিলাম। কিন্তু সাধ-সাধ্য একসাথে ব্যাটে-বলে হচ্ছিলো না। অবশেষে এই প্রিন্টারের সন্ধান পেলাম, যেটা কি না শুধু প্রিন্টারই না, একই সাথে স্ক্যানার এবং ফটোকপিয়ারও বটে! আমার মতো গরিবদের জন্য 3 in 1 at 6.5k টাকা মোটামুটি জুতসই বলা যায়। তবে এর কালির কার্টিজ ছোট বলে কালির পেছনে খরচ একটু বেশি হতে পারে বলে সন্দেহ করছি। এখনই বলা মুশকিল, কারণ আমার প্রিন্টারের সাথে দেওয়া প্রথম কালিই এখনও চলছে। আমার মনে হয় কার্টিজ বদলের সিস্টেম না হয়ে কালি রিফিলের সিস্টেম থাকলে খুবই ভালো হতো। ১৪/১৫ দিন বোধয় হচ্ছে ব্যবহার করছি। স্ক্যানিং সন্তোষজনক, ফটো কপিও সন্তোষজনক। প্রিন্টিং স্পিড home use এর জন্য ঠিক আছে, তবে business use এর জন্য মানানসই না। সব মিলিয়ে আমি আমার এই প্রিন্টারটাকে খুবই ভালোবেসে ফেলেছি! সেলারকে ধন্যবাদ। দারাজকেও ধন্যবাদ!",Printer
"আলহামদুলিল্লাহ। প্রোডাক্ট ভালো, সেল্স ম্যান এর ব্যবহার ও ভালো, স্ক্যান,ছবি, ফটোকপি, প্রিন্ট সবই ভালো, ১ম দিন অতিরিক্ত কালি ছেরে প্রিন্ট নষ্ট করলে ও এখন সব ঠিক আছে। সফওয়ার দিয়ে কালি দেখা যাচ্ছে, এটা ভালো দিক। ৪ দিন ব্যবহার করে রিভিউ দিলাম, এখন দেখার বিষয় কত দিন টিকে....",Printer
"প্রথমত প্যাকিং ,ডেলিভারি সন্তোষ মুলক ছিল, প্রিন্টিং স্ক্যান, কপি সবই আমার কাছে প্রথম দিনেই ভালো লেগেছে, জানিনা সার্ভিসটা কেমন দিবে তবে, এই প্রিন্টারটি আমার ভালো লেগেছে। ধন্যবাদ দারাজ কে,",Printer
"ডিসকাউন্টে ৫২০০ টাকা লাগছে সব অফার মিলে। স্ক্যান, ফটোকপি, কালার প্রিন্ট, নরমাল প্রিন্ট সবই করা যায়। এপ দিয়ে কালি কতটুক আছে সেটাও দেখা যায়। তবে কালার প্রিন্ট এ খরচ বেশি পড়বে, ৪ টাকা/পেজ এভারেজ আর ব্লাক প্রিন্ট এ ১.২৫টাকা/পেজ। সেলার ২ দিনেই ডেলিভারি করছে & রেসপন্স ও করছিল ইন্সট্যান্ট, সো রিকমান্ডেন। প্যাকেজিংটা আসলেই ভালো ছিলো। বেস্ট অফ লাক & সামনে এমন কম প্রাইসে আরো প্রোডাক্ট আনবেন❤️",Printer
"প্রোডাক্ট আজ হাতে পেলাম, মনে হয় সঠিক প্রোডাক্টই পেয়েছি, আর ভালোই হবে। গতকাল অর্ডার করার পর একদিনের মধ্যেই আজ প্রোডাক্ট হাতে পেলাম।",Printer
"১ম দোকানদার ভাই কে ধন্যবাদ, কথা কাজের ১০০% মিল অনেক ধ্যনবাদ ভাই। অনেক ভালো মানের প্রিন্টার সব কিছু ভালো ভাবে চেক করে দেয়ার জন্য অনেক খুশি হলাম।এক জন বিশ্বত সেলার।",Printer
আলহামদুলিল্লাহ প্রিন্টার টা ভালো পেয়েছি☺️☺️ এখন ওয়রেন্টি কি সত্তি পাবো নাকি সেটা শিওর না,Printer
প্রডাক্টটা যেমন দেখছি তেমন এ পাইছি ইন্টেক প্রডাক্ট এ হাতে পাইছি,Printer
"দারুন পেকেজিং ছিল,ভালোই কাজ করছে,তবে উইন্ডোজ ৬৪ বিট ছাড়া চালানো মুসকিল,,এখন দেখার বিষ্য কতোদিন টিকবে,তবে কষ্ট টা হলো অফার দেখে কিনেছিলাম,তবে অফার পেলাম না,",Printer
"ধন্যবাদ দারাজ কে,সেই সাথে সাপ্লায়ার কে💚💚 অসাধারণ প্যাকেজিং ছিলো। অনলাইনে ইলেকট্রনিক ডিভাইস কেনার সাহস ছিল না।প্রিন্টার টা হাতে পাওয়ার পর সস্তি পেলাম।এক্কেবারে ইনটাকট ছিল।ভালোই চলছে। সেলার কে আবারও ধন্যবাদ পজিটিভ রেসপন্স এর জন্য।",Printer
"প্রোডাক্ট টি অনেক ভালো, (Print, Scan, Copy) (Black and White, Colour Print) এবং HP Smart App প্রিন্ট করা আরো সহজ করে দিয়েছে। মোবাইল থেকেও HP Smart App এর মাধ্যমে প্রিন্ট করা যায়, Thanks Daraz...",Printer
অনেক ভালো প্রিন্টার। সব ঠিকঠাক পেয়েছি। ধন্যবাদ সেলারকে।,Printer
মাশাল্লাহ প্রিন্টারটি খুব সুন্দর হয়েছে। ধন্যবাদ সেলার ভাইকে। ‌,Printer
অস্থির একটা প্রিন্টার।Recommend,Printer
গতকাল হাতে পেলাম।ডেলিভারি খুব স্বল্প সময়ের মধ্যেই হয়েছে।প্যাকেজিং ভালো হয়েছে। এখন দেখা যাক সর্ভিস কেমন? একটা কার্টিজ দিয়ে ব্লাক এবং রঙিন কতটি ফটোকপি হে?,Printer
"চমৎকার প্রিন্টার। বাসায় ব্যবহারের জন্য উপযুক্ত। একসাথেই সব প্রয়োজন মেটানো যায়, ফলে বাইরে গিয়ে সময় নষ্ট করতে হয় না। প্যাকেজিং ও যাবতীয় বিষয় ঠিকঠাক ভাবে পাঠানোর জন্য সেলারকে ধন্যবাদ।",Printer
"১০-১৫ দিন ধরে ব্যবহার করছি, কোনো সমস্যা দেখিনাই। আসা করি ভালো প্রিন্টার পেয়েছি। ধন্যবাদ সেলার কে।",Printer
"পন্যটির দাম অনুযায়ী খুব ভালো, এবং আমাদের ডেলিভারি ম্যান ভাইয়ের ব্যবহার খুব ভালো ছিলো,, ধন্যবাদ দারাজ",Printer
অনেক ভালো লাগলো। অনেক দিন ব্যবহার করার পর রিভিউ লিখছি। প্রিন্ট খুবই ভালো হচ্ছে।এই দামের মাঝে ভালো একটি প্রডাক্ট। চাইলে আপনিও নিতে পারেন।,Printer
নন চ্যানেল প্রোডাক্ট। তবে অরিজিনাল। ভালো প্রিন্ট হয়। ডেলিভারি ও দ্রুত করেছে।,Printer
ভালো মানের একটা প্রিন্টার এবং সেলার ও ডেলিবারি মেনের ব্যবহার খুবই ভালো। ধন্যবাদ।,Printer
"আলহামদুলিল্লাহ, প্রিন্টার হাতে পেয়ে অনেক ভালো লাগছে। আমি যে প্রিন্টার অডার করেছিলাম সেটাই পেয়েছি । Thanks for Daraz Online",Printer
অনেক ভালো একটা প্রিন্টার আমি ১ বছর যাবত ব্যাভার করছি এখন পর্যন্ত কোনো সমস্যা হয় নি।কম দামের মধ্যে ভালো একটি প্রিন্টার।,Printer
প্রায় একমাস পর রিভিউ দিচ্ছি। ভালো একদম আনবক্সিং অবস্থায় পেয়েছি সেলার কে ধন্যবাদ ভালো একটা প্রিন্টার দেওয়ার জন্য।,Printer
"আলহামদুলিল্লাহ, প্রিন্টার টা অনেক ভালো, অনেক আগেই নিয়েছি, ব্যবহার করে তারপর রিভিউ দিলাম,",Printer
ভালোই,Printer
খুব ভালো প্রডাক্ট ধন্যবাদ সেলারকে,Printer
আলহামদুলিল্লাহ আমি যা চেয়েছি তাই পেয়েছি । কম দামের সবচেয়ে ভালো একটি প্রোডাক্ট । দারাজকে অসংখ্য ধন্যবাদ।,Printer
প্রিন্টার টির সবেই ভাল শুধু প্রিন্ট হতে সময় বেশি লাগে একটা প্রিন্ট হতে পেরায় ১-২ মিনিট লাগে,Printer
আলহামদুলিল্লাহ ঠিক মত হাতে পৌছে গেছে তবে কার্টিজ গুলা পরে পাওয়া যাবে কি নাহ যানি নাহ,Printer
আমার কাছে এটি অল্প দামের মধ্যে ভালোই মনে হয়েছে,Printer
জিনিসটা খুব ভালো পাইছি। আমি আরও একটা ক্রয় করতে চাই,Printer
অনেক ভালো একটি প্রিন্টার ধন্যবাদ সেলার কে প্রয়োজনীয় সবকিছু প্যাকেটের ভিতর দিয়ে দিয়েছেন উনি কোন কিছু কেনার প্রয়োজন হয় নাই। প্রিন্টারটি দিয়ে বাসায় প্রিন্ট করার জন্য উপযুক্ত কালার প্রিন্ট সাদা কালো প্রিন্ট । স্ক্যান থেকে প্রিন্ট সবকিছু সুন্দরভাবে হয়। ধন্যবাদ সেলার কে। অসংখ্য ধন্যবাদ দাদা আজকে বিশাল বড় এক ডিসকাউন্ট দেওয়ার জন্য।,Printer
দারাজ সব সময় আমার কাছে বিশ্বস্ত। এবারও তার প্রমাণ পেলাম। মার্কেট রেট থেকে ১৫০০ টাকা কমে এ প্রোডাক্ট রিসিভ করলাম। অরিজিনাল এবং নিখুঁত প্রিন্ট পেলাম। ধন্যবাদ প্রিয় সেলারকে। এভাবে আমাদের আস্থায় থাকুন সবসময়।❤️❤️,Printer
একটু ভয় পাচ্ছিলাম কিন্তু এখন আলহামদুলিল্লাহ খুব সুন্দর। এখন দেখার বিষয়,Printer
সব টিক আছে কিন্তু কালার প্রিন্ট ভালো না রেড কালার আসেনা,Printer
ছবিতে যেমন ঠিক তেমনই পেয়েছি। ভালো কাজ করে। অরডিনাল hp আর মার্কেট থেকে দাম কমে পেয়েছি। ১০ এ আমি ১০ দিবো।Thanks all.❤️❤️❤️,Printer
"খুব ভালো একটি পোডাগ,এইরা ডিজিটাল imbater সাহাযে চালানো যায়,এবং এইটা কালর পিন্ট হয়,অনেক সুন্দর,সবাই নিতে পারেন।",Printer
আসআসসালামু আলাইকুম। আমি প্রিন্টার রিটার্ন করতে চাই।,Printer
23 তারিখ অর্ডার করেছি 26 তারিখ হাতে পেয়েছি। প্যাকেজিং ভাল ছিল। ধন্যবাদ দারাজকে।,Printer
আমি যেমনটা চাইছিলাম তার থেকেও ভালো কাজ করে,Printer
পন্যটা একদম ঠিক ছিল। ধন্যবাদ।,Printer
ভালো একটি প্রিন্টার।,Printer
"দুই সপ্তাহ হয়েছে হাতে পাইছি প্রিন্টার। প্রিন্টার ভালই ছিল কোন সমস্যা নাই। তবে কালীর বিষয়ে সেলার এটা খুবই খারাপ কাজ করেছে, মাত্র বিশটা পেপার প্রিন্ট দেওয়ার পরে কালি শেষ। এটা কোন কথা, যেখানে মিনিমাম ৪০০ পিস প্রিন্ট হওয়ার কথা, একদমই ফালতু কার্ডিস দিছে।",Printer
সেলার এর ব্যাবহার ভালোনা। সালা চিটাগাংগা মফিজ। অনলাইন বিজনেস করার কোনো যজ্ঞতাই অর নাই। বিজনেজ করতে চাইলে ব্যবহার টা ভালো থাকা জরুরি। আমাকে ডাটা কেবল টা ও দেয় নাই। আবার আমাকে ফোন দিয়ে বলে আপনি 3 স্টার কেন দিলেন? এখন 1 স্টার দিলাম এখন খুব ভালো লাগবে তার।।,Printer
এত বাজে হবে রিভিউ দেখে বুঝিনি😪😪 প্রথম ৩/৪ দিন মোটামুটি ভালই চলেছিল এর পর থেকে ১টা ও কমপ্লিট প্রিন্ট হয় নি। রিফিল করেছি কাজ হয় নি। ৮৫০০/- টাকা অপচয় হইল😪😪😪,Printer
বা‌জে সেলার blank কা‌র্টিজ প্রদান করা হইছে,Printer
"বাজে প্রিন্টার, কিনার পরে ৫০ টি প্রিন্ট ও দিতে পারিনাই, কার্টিজ নষ্ট হয়ে গেছে",Printer
"বস...প্রিন্টারে নীল আর সবুজ রং প্রিন্ট হচ্ছেনা। আজ থেকে কালো রং ও আসছে না।কি সমস্যা জানাবেন।আমি কি এটা রিটার্ন পাঠাবো,নাকি এর সমাধান আছ নাকি কালি শেষ,কার্টিজ পাল্টাতে হবে? জানাবেন প্লিজ। টেনশনে আছি😥",Printer
"অনেক সুন্দর প্রডাক্ট, ধন্যবাদ 🥰🥰🤗🤗",Printer
একটা স্ক্যানার নিলেও ১০/১২ হাজার টাকা লাগে। সেই হিসেবে এটা হতে পারে বেষ্ট সল্যুশান,Printer
দাম অনুসারে খুব ভালো।,Printer
ভালো,Printer
"দাম অনুযায়ী ভালোই , কিছু কিছু সময় আগের প্রিন্ট করে ফেলে",Printer
"প্রোডাক্টস ভালো। কিন্তু সমস্যা হবে যেটা সেটা হলো কারটিজ (মানে, ভিতরের কালি ভড়ার অংশ) সেটা ১ থেকে ২ মাসে মানে ৭-৮ শত পেজ প্রিন্ট হোয়ার পর নষ্ট হয়ে যাবে। সবথেকে খুশির কথা এইযে সাড়া বাংলাদেশ খুজেও সেই কারটিজ ম্যানেজ করতে পারবেন না। আর উনাদের সাথে যোগাযোগ করলে দাম চাইবে ৩৪০০ টাকা শুধু কারটিজ। যেখানে প্রিন্টার মাত্র ৭৮০০",Printer
লো কোয়ালিটি প্রিন্টার। দুই মাসের মধ্যেই নষ্ট হয়ে গেছে। এখন আর ওয়ান হয়না।,Printer
মোটামুটি ভালো,Camera
দাম অনুযায়ী ক্যামারাটি ভালো ছিল কিন্তু ব্যাটারির চার্জ থাকে না 😅💔,Camera
ক্যামেরা টা বাটন ফোন এর মতো । তবে কেইস টা আমি অন্য ক্যামেরা তে এডজাস্ট করছি । এইটা না কিনাই ভালো,Camera
ভাব মারার জন্য ঠিক আছে।😁😁 তা ছাড়া কেউ নিবেন না।,Camera
বাজে একটি ক্যামেরা,Camera
এই ক্যামেরাটা মুটামুটি ভালো কিন্তু চাজ থাকে না এবং এটার ক্যামেরা ঝাপসা,Camera
"I am So happy Very good Product আশার থেকে ভালো পেয়েছি , আপনারা চাইলে নিতে পারেন। সব Exchories পেয়েছি। ক্যামেরাটিও খুই ভালো ছিল। Wifi Supported + সাথে রিমোটও দিয়েছে। আসোলে আমরা ২৫০০ টাকার Action camera এর সাথে 35 হাজার টাকার Gopro এর সাথে তুলনা করা বোকামি এর কাজ আমার ধারণা ৩০০০-৫০০০ টাকার Camera এর সাথে তুলনা করলে এটি Best হবে. নিজের ২ মাসের মত ব্যাবহয়রের পরে নিজের ব্যাবহার করে Happy Camera quality - 9.5/10 All Exchories -10/10 packaging- 9/10 Video Quality- 9/10 picture Quality- 9.5/10",Camera
"আলহামদুলিল্লাহ, অনেক ভালো একটা প্রোডাক্ট, আপনারা চাইলে নিতে পারেন, এত অল্প প্রাইজ এত ভালো জিনিস পাওয়া যায় না, 🔥 থ্যাংকস সোলার ভাই 🔥 থ্যাংকস দারাজ",Camera
যেরকম অর্ডার দিয়েছি সেরকম পেয়েছি। তাই আপনারা চাইলে নিতে পারেন।,Camera
বাজে জিনিস রিটার্ন দিলাম।,Camera
লুল প্রডাক্ট,Camera
ক্যামারা টা দাম হিসাবে অনেক ভালো পাইছি।সেলারের ব্যাবহার অনেক ভালো ছিল।ডেলিভারি ম্যান অনেক ভালো ছিল। প্যাকেজিং অনেক ভালো ছিল। সব মিলে আলহামদুলিল্লা অনেক ভালো হইছে,Camera
"৬ মাস ব্যবহারের পর এর অভিজ্ঞতা যাচ্ছি, এটা বেশ ভালো মূল্য অনুযায়ী",Camera
আমার থেকে টাকা বেশি নিয়েছে কেন ডেলিভারিম্যান। খুব সুন্দর এবং ভালো আমি নিয়েছি আপনারা নিতে পারেন,Camera
দেখতে অনেক সুন্দর কিন্তু পুরো বাজে একটা ক্যামেরা ভুল করে ওটা কেউ নিবেন না,Camera
আলহামদুলিল্লাহ যেটা চাইছি ওটাই পাইছি কিন্তু একটা সমস্যা ব্যাকগ্রাউন্ড হোয়াইট সাদা 😔😔😔,Camera
একদম বাজে কেউ নিয়েন নাহ,Camera
"আমি এই ক্যামেরা টা নিয়েচি পিকচার ও বিডিও কালো আসে,রাতের আধারে দয়া করে আমার রির্টান করতে চাই আসা করি মতা মত দিবেন",Camera
কেমেরেটা এটুও ভালো না আমি ভালো পাইনাই আসাকিরি আপনারাও ভালো পাবেননা,Camera
"এই দামে মুটামুটি চলে,",Camera
"ক্যামেরটা অনেক সুন্দর,",Camera
"দাম হিসেবে ক্যমেরাটা ভালো, কিন্তু রাতে ক্যমেরার কোয়ালিটি খারাপ দেয়😔।",Camera
দাম হিসাবে কেমেরা টা একে বারে খারাপ না মোটমুটি চলে কিন্তু সেলার ভাই কে বলবো একটা কথা ভাই আপনি জে আমাকে কেমেরা টা দিছেন আমার কেমেরার বেটারি দিবো কে ভাই এমন কাজ করবেন না পয়জোনে দাম টা আরো বেশি করে দিবেন তার পরে ও কেমেরা সাথে বেটারি মেমুরি দিয়ে দিবেন তা চাড়া এসব কেমেরা সমপকে সবাই বুজে না হুদাই করানে রিটান করে দিবে পোডাক জখন রিটার্ন করবে তখন ত আপনাদের লাভ ও হবে না আর আরেক টা কথা কেমেরা পেকেজিগ টা এতো বাজে কেনো এমন বাজে পেকেজিক ত আমি কখনো কোনো পোডাকে এমন পাইনি ভাই ধন্যবাদ দারাজ কে ❤️❤️❤️❤️,Camera
দাম হিসেবে ভালো নিতে পারেন কিন্তু এটা নিতে আমার অনেক কষ্ট হয়েছে কাহিনী করতে হয়েছে।,Camera
