cleaned_stopwords,Sentiment
প্রোডাক্ট নষ্ট দিছে একদমই খারাপ লেট দিছে এইটা নেয়ার দরকার নিবেন,0
বাজে একটা চার্জার কম দামি চার্জার ওপর ফিটফাট ভিতরে সদরঘাট ফাজলামো,0
সপ্তাহখানেক ভালোই চলতেছিল চার্জ বাড়ার কমতেছে,0
ফালতু চার্জার মাসেই নষ্ট হয়ে গেছে। দেখতেই সুন্দর খালি,0
ভালো বাজে চারজার।,0
ভালো প্রডাক্ট,1
ঠিকঠাক প্রোডাক্ট হাতে পেয়েছি চেয়েছিলাম তেমনি পেয়েছি সেলার ভাইটি ভালো,1
আলহামদুলিল্লাহ প্রডাক্ট ঠিকঠাক মতই পেয়েছি টার্বো চার্জ সাপোর্ট টেকশই হয়।,1
মার্কেট অরজিনাল প্রোডাক্ট খুবই ভালো প্রোডাক্ট,1
দাম ভালো চার্জ packaging সবকিছুই ভাল overall good চাইলে,1
চার্জারটা ভালো আপনারা পারেন।,1
নাইস,1
চার্জার পাইছি আপনারাও পারেন। চার্জার টা গরম হই। কপি চার্জার তাই। শেষে চাই দারাজ ভালো পারসেল টা দিয়েছে আমাকে।।।।।।,2
কম দামে ভালো ধন্যবাদ সেলার ভাইকে,1
ভাই চার্জারটা একদম অরিজিনাল টার মত ভারি দেখব যেটা কতটুকু কার্যকর,1
চার্জারটা ফালতু চার্জ না। দারাজ ভুয়া। নিবেন এসব,0
নষ্ট এডাপ্টার পাঠিয়ে দিয়েছে। বাইরে কেনার সময় পাইনা বলেই অর্ডার করেছিলাম। সেলারের চেক প্রোডাক্ট পাঠানো। সেলার নক দিয়েছি। দেখি বলে।,0
সেলার একটা বাটপার চার্জার বেক শেল দিছে।,0
ভাই বাক্সে লেখা Made in India আার চার্জারে লেখা made in China ব্যাপারটা বুঝলাম দেশের কোয়ালিটির চার্জার। ভালোই যাক কতোদিন টিক সই হয়।। আার ধন্যবাদ দারাজকে সেলারকে।।,2
আরজিনাল চার্জর পেয়েছি ভালো ফাস্ট চার্জ চার্জর কোয়ালিটি ভালো লাগবে আসা করেছি অধিক ভালো চার্জর পেয়েছি রেটিং হিসেবে দিচ্ছি ধন্যবাদ দারাজকে ভালো চার্জর,1
বাস্তবিকতায় আসা যাক স্টার রিভিউ কারন উপ্রে প্রডাক্ট টা ভাল ফাস্ট চার্যিং এডাপ্টার গরম তাছাড়া পারফেক্ট টেকসই কথা নেওয়ার মত অরিজিনাল প্রডাক্ট ভাল মানের ভিয়েতনাম কপি দাম কথা বাদ দিলেও প্রডাক্ট ভাল,2
চার্জার ভালো ফাস্ট চার্জ হয়। ঘন্টা মিনিটে ফুল চার্জ হয়।,1
স্বল্পদামে ভালো মানের মাস্ক পেলাম।। ধন্যবাদ সেলার যথাযথ পণ্যটি জন্য।।।। LOVE U DARAZ,1
ভালো মানের চার্জার গরম,2
প্রোডাক্ট ভাল ঠেকসই,1
মাক্লোস গুলো ভালো,1
ভালো তারছেয়ে ভালো ডেলিভারি মেন,1
ভালো,1
আপনাদের প্রোডাক্ট পেয়ে হতাশ। এডাপটর ভালো চার্জিং কেবল ভালো না। হয়তো চেক দিলে ভালো হতো। প্রোডাক্ট অর্ডার করবো না।,0
layer mask নামে চিটারের দল এক লেয়ারের নিম্নমানের মাস্ক বিক্রি করতেছে। সেলার পুরাই চিটিং। সপে অর্ডার বিরত থাকুন।।,0
প্রোডাক্ট নষ্ট ছিলো রিটার্ন দিলাম,0
নষ্ট এডাপ্টর পাঠিয়েছে টেক্স করেছি। রিপ্লাই না। সার্ভিস খারাপ।,0
টাইন্না টুইনা ফেল। আমরাচাই টাইনা পাশ করাইতে সেলার বেটা দাম বাড়ানোর ধান্দায় করলাম আরো দুইটা কিনবো দেখি দোকানদার টাকা টাকা বানাইছে। করমো কেনা না।না।না। মসিবত মানুষ দাম কমাইতে সটা শুইনা আরো দাম বাড়ায়। দোয়া চার্জার টা আরো একশো বছর।,0
ভালোই আছে। দামটা একটু কমাইলে ভালো হইতো তয় টাইনা পাশ। টাকা টাকা করলেতো বেস্ট হইতো। ভিতরেতো মাল মসলা কম। সেলার ভালো আছে।,2
Good ভালো সবাই ভালো টাই পায়। সবাই আছে। কিন্তুকেশ মেমো ফাঁকা একটা পেজ দিছে বুঝতে পারলাম না।,2
সবকিছু ঠিকঠাক যাক কতদিন টিকে,1
পন্যটি মোটামুটি ভালো আপনারা চাইলে,1
কলিজা মোর ফিদা রে মোর কলিছা ফিদা গো ফিদা কালার দেখিয়া দিল ঝাকুনাকু রে ঝাকুঝাকু করিতোছে। হাইয়ো মাগো তিন বন্দু একসাথে চার্জার কিনিছি রিভিউও দিবো এক সময়। তয় পাইছি দিওনা রং।,1
চার্জার টা ভালো খারাপ,1
স্টোর পন্য ব্যাবহার করেছি খুবই ভালো সামান্য ত্রুটি জানানোর সাথে সাথে ফেরৎ টাকা পাঠিয়ে ধন্যবাদ।,1
ঠাক করছে। packaging নরমাল। সময়েই ডেলিভারি পেয়েছি।,1
আলহামদুলিল্লাহ। চারটি মোবাইল চার্জারের অর্ডার দিয়েছিলাম চারটিই ভালো পেলাম। আগের পাঁচটিও ভালো আছে। ধন্যবাদ।,1
আলহামদুল্লিাহ্ পাঁচটা মোবাইল চার্জারই ভালো ছবির কাজের অত্যান্ত মানানসই। ধন্যবাদ,1
Assalamualaikum পিনের বোডটাতে একটু সমস্যা আছে। দামতো ভালই তাইতো জিনিস ভালো কথা ছিল। Good job,2
ভালো ছিলো চার্জার টা সেলার ভালই হা একটু গরম,2
আলহামদুলিল্লাহ এ্যাডাপ্টার ওর্ডার করেছিলাম দুইটাই ভাল পেয়েছি দাম ভালই সেলারকে ধন্যবাদ।,1
একদম ফালতু জিনিস । দিনেই নষ্ট । ভাগ্য ভালো বড় রকমের দুর্ঘটনা বেঁচে গেছি। কিনবেন না।,0
বাজে চার্জার। চার্জ উঠে,0
সংযোগ ছাড়াই মান মোটামুটি মধ্যম।,2
ফালতু চার্জার নিবেন না।।।নষ্ট চারজার দিয়েছে আমায়,0
জিনিস টা ভাল বোতাম ফোনে ভাল করে।,1
ভালো আপনারা চাইলে,1
ভালো খারাপ মান ভালো,1
খুবই ভালো,1
জা চেয়েছি পেয়েছি,1
ভাল সবাই পারেন।,1
গরম,0
বাজে দিনে নষ্টহয়ে,0
দামে ভালোই,1
কম দামে ভালই,1
ভালো ছিলো,1
গুড প্রডাক্ট,1
মোটামুটি চলবে আরকি ৷ বেশী লাষ্টিং করবেনা,2
গুড় মিঠা।,1
ভাল,1
নিবেন একদম বাজে জিনিস। আ্যাডাপটার TWS নষ্ট দিছে মত ফালতু জিনিস না। চার্জ দেয়ার সাথে সাথেই প্রচন্ড গরম হয়ে যায়। জিনিসকে নষ্ট চাইলে নিয়েন প্লিজ,0
খুবই বাজে। একদমই না। মাঝে প্যাকেজিং ভালো ছিলোই না। নট রিকমেন্ডেড,0
নিম্ন মানের এন্ড্রোয়িডে চার্জ পারবেন নর্মাল চার্জের লাইট বাটনফোন ইত্যাদীতে ইচ্ছা বুঝে শুনে চাইলে,0
বলব বাজে বলার কোনু ভাষা,0
নষ্ট ভাঙ্গা। টাকাটাই জলেগেল। নিবেন না।,0
হয়তো আরেকটু যত্নের সাথে প্যাকেজিং ছিলো,2
একদিন ব্যবহারে শেষ। জোড়ে শব্দ গন্ধ গেছে।,0
খুবই বাজে প্রোডাক্ট। দাম কম ব্যাক হয়নি। চার্জ আলো জলে।,0
মোটামুটি,2
ভালো প্রোডাক্ট। চলার মত,0
চার্জা ভালো লাইট জ্বলে,2
দারাজ দন্যবাদ । অর্ডার করেছি দেয়ার জন্য।আমাকে ভালো মানের পুণ্য দেয়ার ধন্যবাদ দারাজ । আপনারা সবাই দারাজ পুণ্য কিনুন ।,1
দাম ভালো জিনিসটা,1
ভালো স্টার ফুল hd কোয়ালিটি rca ক্যাবলে পসিবল নামেশিন দোষ ক্যাবল লিমিটেশন উপসক্যালে লাগে না। hdmi to rca rca hdmi হতো ফুল হদ পসিবল,2
মাস রিভিউ দিচ্ছি।। ভাল সার্ভিস দিয়েছে কালারো ভালো। এক কোথায় অসাধারন।। আপনারা,1
ধন্যবাদ বিক্রেতা দারাজ,1
জিনিসটা ভালইকিনে আনার তিনদিন বিক্রি ফেলছিকোয়ালিটি পারফরম্যান্স খুবই ভালোছবি সাউন্ড কবি ক্লিয়ারখুব ভালো একটা জিনিসকাস্টমাররা চাইলে,1
টিভি বক্সে লাগিয়ে দেখেছি। প্রোডাক্টটি ভালো। সেলারও ভালো। আন্তরিকতার সাথে মাল পাঠিয়েছে। আপনারা চাইলে ভালো হবে।,1
CRT TV তারাই মুলত কিনতে পারেনআলহামদুলিল্লাহ ভালো চলছে,1
ভালো সবাই,1
যাবৎ চালাচ্ছি ভালো চলছে। ধন্যবাদ সেলারকে।,1
খুশি হয়েছি যেপ্রোডাক্টি তাড়াতাড়ি এসেছে।,1
মালটি চেয়েছি তেমমনই পেয়েছি কালারটা ভিন্ন ছিলো,1
ভালো। প্রোডাক্ট,1
ভালোই,1
ভালই চলছে।,1
টা ভাবছিলাম ভালো পাইছি ধন্যবাদ,1
সবাই খুবিই ভাল জিনিজ,1
সাদা কালো,2
আলহামদুলিল্লাহ খুবই ভালো চাইলে,1
ভালো,1
পারিনি,0
ভালো হইছে বাট দাম,2
জোস কাম করতাছে ধন্যবাদ,1
ভাল,1
ভালো ছিলো,1
খুবই ভালো,1
ভালো,1
একটা এনেছি ছলছে একটা আনছি,1
কোয়ালিটি ভালো আপনারা চাইলে,1
আলহামদুলিল্লাহ ভালই পেয়েছি। প্রথমে ভেবেছিলাম নষ্ট দেখছি ভালই,1
যেমনটা চাইছি তেমনটাই,1
পুরা একটা বাজে শপ। দুইটা প্রোডাক্ট নিছি দুইটাই খারাপ প্রোডাক্ট দিছে। নষ্ট কনভার্টার দিয়ে দিছে। একটুও না। লাইন পায় না। শপ কেনার বুঝে শুনে প্রোডাক্ট নিবে। সেলার ম্যাসেজ দিলেও ম্যাসেজের রিপ্লাই দিবে না। টাকা রিফান্ড চেয়েও পাই নাই। কারন হাব দূরে। ফেরত দেয়াও সম্ভব না। এইসব বাজে সেলারের কারনে দারাজে অর্ডার চায় না।,0
অদ্য খ্রি তারিখে প্রোডাক্টটি হাতে পেলাম। টিভিতে সংযোগ দিয়েই আশাহত হলাম। প্রোডাক্টটি নস্ট । সবাইকে পণ্যটি কিনতে করবো। এভাবে বাজে পণ্য কাস্টমারকে না।,0
একদম বাজে প্রোডাক্ট আশা কিনেছিলাম বাসায় এনে hdmi টিভিতে কানেক্ট পারলাম নষ্ট প্রোডাক্ট পাঠিয়েছে সেলার প্যাকেট খোলা ছিলো দেখেই খটকা লেগেছিলো। বাসায় এনে সত্য হলো। টাকাই পানিতে গেলো,0
প্রডাক্ট মোটামুটি ভালোই চলছে টা স্টার দেয়ার কারন সেলার চ্যাট রিপ্লাই দেয় প্রডাক্ট নিচে প্রশ্ন করলেও রিপাই দেয় ভোগান্তি পোহাতে হয়। রাগ উঠে ম্যাসেজ সিন করেও রিপ্লাই দেয়,2
পোস্টটির কোয়ালিটির মান ভালো,0
সাদাকালো ছবি যায়। একদম ভালো না।,0
অর্ডার করছিলাম HDMI to AV আপনারা ডেলিভার VGA to HDMI ভুল মোটেও আশা নি। রিটার্ন উপায়,0
মোটামোটি ভালো,1
ভাই তহ order এইটা পাই নাইআমি Bkash payment দিচিকিন্তু order হাতে পাই নাইplease help,2
সাউন্ড পটপট শব্দ করে।রিটার্ন দিছি।,0
একটা চাজার ভালো ধন্যবাদ সেলার অরিজিনাল চাজার দেওয়ার,1
ভলো কিউআর কোড স্কেন অথেনটিক মেসেজ আসে Authentic product,1
ব্যবহারের Review দিচ্ছি। ভালো Performance দিচ্ছে। Value For Money Highly Recommended,1
খুবি ভাল পেয়েছি হাইলি রিকমেন্ডেড,1
ওয়াট চার্জার একটা দরকার ছিলো দারাজ তেকে নিলাম ফাস্ট চার্জ পছন্দ হয়েছে কেবল ত আলাদা কনতে গিফট পেয়ে গেলাম চাইলে সবাই,1
ভালো লাগছে গিফট চার্জার ভালো ফাস্ট চার্জ ডেলিভারি তারাতাড়ি পেয়েছি,1
চার্জার টা ভালো অরিজিনাল চার্জার পাইছি ওয়াট টাই পাইছি সাথে কেবল গিফট পাইছিওয়ারেন্টি কাড দিছেন সেলার ভাই,1
ভাবতেও পারিনি সেলার সঠিক পণ্যটি দিবে পছন্দ অসংখ্য ধন্যবাদ সেলার ভাইকে ওয়ারেন্টি কার্ড পেয়েছি।,1
কপি প্রোডাক্ট এক জায়গায় লেখা মেড ইন ভিয়েতনাম আরেক জায়গায় লেখা মেড ইন চায়না। চার্জ ঠিকঠাক কি। যাক কতদিন টিকে। দামটা একটু গেছে।।।,0
প্রাইস অনুযায়ী,1
টাকায় সর্বোচ্চ ভালো চার্জার যায়। সুন্দর প্যাকেজিং ইনটেক বক্স ক্যাবলের কোয়ালিটি ভালো এডাপটার সামান্য গরম ফোন গরম হয়না বললেই চলে। পিক্সেল ঘন্টা মিনিট পিক্সেল ঘন্টা মিনিটে ফুল চার্জ হয়ে যায়। সেলার রাইডার দুইজন অত্যন্ত ভালো। দেওয়ার মত প্রোডাক্ট। সবাইকে কেনার সাজেশন রইলো।,2
অর্ডার করেছিলাম মাস আগে। আজকে হাতে পেলাম। হাতে পাওয়ার করলাম চার্জার পেকেজিংটা অসম্ভব ভালো। পেকেজিং খুলতেই চার্জারের পেকেট টা। পেকেটের ভিতর প্রয়োজনীয় কাগজ পত্র সাথে কাঙ্ক্ষিত চার্জার টাও চার্জিং টেস্ট দেখলাম মিনিটে চার্জ হয়েছে ডিভাইস নাম max চার্জার সাথে একদম খাপে খাপ মিলেগেছে,1
The product is very good এইটা mA A তে চার্জ mA A A চার্জ দেয়। বক্সে কেবল না। Oraimo A Type Cto C কেবল নিছি। চার্জার কিছুটা গরম হয়। ফোন একটা গরম না।delivery পেতে লাগছে।,2
কোয়ালিটিও খুবই ভালো । পেতে লাগচে। টাকায় পেয়েছি । সন্তুষ্ট। রেকমেন্ড রইলো । ধন্যবাদ সেলারকেUgreen অফিসিয়াল স্টোরকে ।,1
পিক্সেল নিয়েছি। আলহামদুলিল্লাহ ভালই ফোন একটু হিট না। ফুল চার্জ ঘন্টা মিনিট লাগে। বিল্ড কোয়ালিটি একদম প্রিমিয়াম প্যাকেজিং ভালো ছিলো। ডেলিভারি পাইতে সময় লেগেছে। চাইলে পারেন।,1
তারিখ সন্ধ্যাতে অর্ডার করেছিলাম। তারিখ রাত ডেলিভারিতে প্রোডাক্ট পেয়ে যাই এক্সপ্রেস ডেলিভারি ছিলো। ফুল চার্জ ঘন্টা মিনিট হয়ে যায়। চার্জিং সময় মোবাইলএডাপ্টার দুটোই প্রচুর হিট হইছিলো। এতো হিট নি। পিক্সেল চার্জার টা নিয়েছি।,2
চার্জার কোয়ালিটি ভালো। পিক্সেল ফুল চার্জ ঘন্টা মিনিট মত লাগে। চার্জারটা একটু গরম,1
আলহামদুলিল্লাহ। প্রোডাক্ট প্যাকেজিং খুশি। ইউগ্রীন যেমনটা আশা করেছিলাম সেমনটাই পেয়েছি। চার্জ কেমন দেখার বিষয়।,1
চার্জারটি খুবই ভালো। Sultra around minutesএ চার্জ হয়েছে। হিটিং ইস্যু হয়নি। আপনারা পারেন। দিনে ডেলিভারি পেয়েছি।,1
product আসতে সময় নেয় চাইনা আসে কোম্পানির চার্জার কেবল গুলো সবচেয়ে best genuine and best product,1
দারুন চার্জার। ছোট্ট একটা জিনিস হাতের তালুতে যায়। Samsung S series super fast charging সাপর্ট করছে।,1
ভালো দ্রুত চার্জ হয়। আইফোন প্রো মাক্স নিয়েছি। চার্জ দেড় ঘন্টার সময় নেয়।হাইলি রেকোমেন্ডেড।,1
এক একথায় অসাধারণ জিনিসজোশ।অনেক ধন্যবাদ ইউগ্রীন,1
এক কথায় অসাদারন। সিওর পারতেচি এতা অরজিনাল না। কারন আগের অরজিনাল টার মতই সেম। চাজ দিয়াচিলাম গন্টা মিনিট লাগচে ফুল চাজ হতে। অরজিনাল মতই অনেক্টা।,1
ভালোমানের চার্জার। দ্রুতই চার্জ গরম না।,1
খুভ ভালো প্রোডাক্ট নিসন্দেহে দিনের বেশী ব্যাবহার রিভিউ করলাম ফোন গরম দ্রুত চাজ হালকা জিন জিন ফোন,1
ধন্যবাদ product পেয়েছি। আশা করছি ভালো হবে। Gift পেয়েছি।,1
অকম টাকায় ভালই হচ্ছে। জানলে টাকায় কিনতাম না।,1
একদম বাজে প্রোডাক্ট চার্জ কথা দূরের উল্টো চার্জ মোবাইল ফালতু প্রোডাক্ট,0
ভাই চারজার দিছেন চাজই হয়না,0
ভালো লেগেছে।,1
ধন্যবাদ। ভালো আশা করিনি। কমদামী প্রোডাক্ট টা রান কতো,1
দাম অনুযাী ভালোই। পারেন।,1
আলহামদুলিল্লাহ চেয়েছি তেমনই পেয়েছি।,1
Just Wow কম টাকার জিনিস এতটা ভালো আশা করিনি।,1
অল্প দামের ভালো প্রোডাক্ট সবাই ভালোই,1
টাকা প্রোডাক্টটা ভালই,1
ভালোই,1
খুবই ভালো,1
ভাল প্রোডাক্ট,1
দীর্ঘ মাস দরে করছি। ভালো প্রডাক্ট। মাস দরে সমস্যার সম্মুখীন হইনি। আসা সামনের গুলিতে এরকম ভালো চলবে।এটা করে। ধন্যবাদ সেলারকে।,1
দাম আলহামদুলিল্লাহ ভালোই পেয়ছি।,1
ভাল,1
ভালো পণ্যটি কিনবেন না। নষ্ট মাল । কানেক্টর মোবাইল ওয়াইফাই রাউটার কানেক্ট না। রিটার্ন দিব। আবারো বললাম কিনবেন সাবধান।,0
রিভিউ ভালো অর্ডার করেছিলাম। হাতে পাওয়ার দেখলাম প্যাকেটের গায়ে mbps লেখা ঠিকি বাস্তবে mbps পাই না। driver update করেও না। ধারণা পুরোপুরি পাই পাবো। না। টাকাটাই অপচয় গেলো।এখন সেলারকে দোষ দিবো প্রোডাক্ট দোষ দিবো বাজে অভিজ্ঞতা।,0
চলতে চলতে বন্ধ হয়ে যায়। অর্ডারের হাতে পায়ছি। বাজে ডেলিভারি।,0
ভালো করেনা। খুবই খুবই স্লো করে।,0
দাম প্রোডাক্ট টা ভালো,1
ভালো পণ্য।,1
মোটামুটি খারাপ না। কিন্তুু এমবি পিএস লেখা ছিলো।সেটা ভুয়া।মোটেও এমবি পিএস,2
দাম অনুযায়ী ব্লুটুথ এডাপতারটা ভালো পন্য ব্যবহারের সপ্তাহ রিভিউ দিচ্ছি।।,1
খুবই ভাল প্রোডাক্ট চট্টগ্রামে লেগেছে ডেলিভারড হতে। Win ইউজ করছি USB তে লাগানোর সাথে সাথে অটোমেটিক সেট হয়ে যায়। এরপর HT কানেক্ট করলামসুপারফাস্ট কানেক্ট হয়ে সাউন্ড কোয়ালিটি ক্রিস্টাল ক্লিয়ার পাচ্ছি কানেকশন ভালোল্যাটেন্সি কম। এরপর Dareu HX গেইম্প্যাড কানেক্ট করেছি সেটিও ফাস্ট কানেক্ট স্মুথলি করছে। Overall ।,1
device টা ভালো লেগেছে। কম্পিউটারে চালিয়ে দেখেছি। ভাল করছে। দেখি কতদিন চলে। ডেলিভারি ম্যান সেলার ভাল।,1
দাম আছে। দিনের product টা পায়ছি।,1
ধন্যবাদ দারাজ সেলারকে ডিভাইস ভালো কিনতে,1
প্রোডাক্ট দাম হিসেবে খারাপ না। ভালোই করতেছে। লিনাক্সেও চলে। মিটার বাইরে নেটওয়ার্ক পায় না। TWS মোবাইলেও কানেক্ট হচ্ছে। ফাইল সেয়ারিংয়েও একটু সময় লাগছিল। সেটিস্ফায়েড। অভিযোগ নাই। কতোদিন চালাইতে সেইটা কথা। বাজেট কম পারেন। মোটামুটিভাবে চালায় পারবেন।,2
পিসির মাদারবোর্ডের অডিও পোর্টে সমস্যা হয়েছিল।তার সাউন্ড হচ্ছিলো না। এজন্য Casify Bluetooth Dongle Order দারাজ থেকে। চালাচ্ছি।ভালোই চলছে ।সকলে নির্দিধায় পারেন। ধন্যবাদ দারাজকে ।,1
কম্পিউটার ফাইল ট্রান্সফারের কম্পিউটারে ওয়ারলেস হেডফোন কানেক্ট জন্য। প্রোডাক্টটি খুবই ভালো।,1
দারাজ কিনেছি সবচেয়ে ভালো পেয়েছি পন্য।ছবিতে ছিলো ভালো।,1
কাজের একটা জিনিস ভালো লাগছে তাড়াতাড়ি ডেলিভারি পাইছি ধন্যবাদ দারাজ,1
দামে খুবই ভালো প্রোডাক্ট মাস এখনো সমস্যা পাইনি।,1
মোটো ভালো রিটানোর আবেদন করছি,0
প্রডাক্ট ছিল। দাম হিসেবে ভালো।,1
অসাধারণ প্রোডাক্ট। সবকিছু পারফেকটলি চলছে। ধন্যবাদ দারাজ,1
দাম অনুযায়ী বেস্ট প্রোডাক্ট। রেকমেন্ডেড।,1
লিনাক্সে ভালোই করছে।,1
প্রোডাষ্ট কোয়ালিটি ভালোই লেগেছে।,1
স্লো করে। ভালো লাগেনি,0
সেলার ভাই অসংখ্য ধন্যবাদ সঠিক প্রোডাক্ট পাঠানোর ।একদম জেনুইন প্রোডাক্ট baseus ব্র্যান্ডিং অ্যাডাপটার । একটা মাস্ক গিফট । আন্তরিক ধন্যবাদ ভাই। সেলার রেসপনসিভ সমস্যার সমাধানের দ্রুতই । দারাজ প্রতিটি ব্যাবসায়ীর ঈমানের ব্যাবসা হণেস্ট টাইম শপ মতই । আল্লাহ আপনাদের মঙ্গল করুক । আমিন।,1
অনেকদিন ধরেই প্রিন্টার কিনবো কিনবো ভাবছিলাম। সাধসাধ্য একসাথে ব্যাটেবলে হচ্ছিলো না। অবশেষে প্রিন্টারের সন্ধান পেলাম যেটা প্রিন্টারই সাথে স্ক্যানার ফটোকপিয়ারও বটে গরিবদের in at k টাকা মোটামুটি জুতসই যায়। কালির কার্টিজ ছোট কালির পেছনে খরচ একটু সন্দেহ করছি। এখনই মুশকিল প্রিন্টারের সাথে কালিই চলছে। কার্টিজ বদলের সিস্টেম হয়ে কালি রিফিলের সিস্টেম থাকলে খুবই ভালো হতো। বোধয় করছি। স্ক্যানিং সন্তোষজনক ফটো কপিও সন্তোষজনক। প্রিন্টিং স্পিড home use business use মানানসই না। মিলিয়ে প্রিন্টারটাকে খুবই ভালোবেসে ফেলেছি সেলারকে ধন্যবাদ। দারাজকেও ধন্যবাদ,2
আলহামদুলিল্লাহ। প্রোডাক্ট ভালো সেল্স ম্যান ভালো স্ক্যানছবি ফটোকপি প্রিন্ট সবই ভালো ম অতিরিক্ত কালি ছেরে প্রিন্ট নষ্ট আছে। সফওয়ার দিয়ে কালি ভালো দিক। রিভিউ দিলাম দেখার বিষয় টিকে,1
প্রথমত প্যাকিং ডেলিভারি সন্তোষ মুলক প্রিন্টিং স্ক্যান কপি সবই দিনেই ভালো লেগেছে জানিনা সার্ভিসটা কেমন দিবে প্রিন্টারটি ভালো লেগেছে। ধন্যবাদ দারাজ,1
ডিসকাউন্টে টাকা লাগছে অফার মিলে। স্ক্যান ফটোকপি কালার প্রিন্ট নরমাল প্রিন্ট সবই যায়। এপ দিয়ে কালি কতটুক যায়। কালার প্রিন্ট খরচ পড়বে টাকাপেজ এভারেজ ব্লাক প্রিন্ট টাকাপেজ। সেলার দিনেই ডেলিভারি রেসপন্স করছিল ইন্সট্যান্ট সো রিকমান্ডেন। প্যাকেজিংটা আসলেই ভালো ছিলো। বেস্ট অফ লাক কম প্রাইসে আরো প্রোডাক্ট আনবেন,1
প্রোডাক্ট হাতে পেলাম সঠিক প্রোডাক্টই পেয়েছি ভালোই হবে। গতকাল অর্ডার একদিনের প্রোডাক্ট হাতে পেলাম।,1
ম দোকানদার ভাই ধন্যবাদ কথা কাজের মিল ধ্যনবাদ ভাই। ভালো মানের প্রিন্টার ভালো চেক দেয়ার খুশি হলাম।এক বিশ্বত সেলার।,1
আলহামদুলিল্লাহ প্রিন্টার টা ভালো পেয়েছি ওয়রেন্টি সত্তি পাবো শিওর,1
প্রডাক্টটা দেখছি পাইছি ইন্টেক প্রডাক্ট হাতে পাইছি,1
দারুন পেকেজিং ছিলভালোই করছেতবে উইন্ডোজ বিট ছাড়া চালানো মুসকিলএখন দেখার বিষ্য কতোদিন টিকবেতবে কষ্ট টা অফার কিনেছিলামতবে অফার পেলাম,2
ধন্যবাদ দারাজ কেসেই সাথে সাপ্লায়ার অসাধারণ প্যাকেজিং ছিলো। অনলাইনে ইলেকট্রনিক ডিভাইস কেনার সাহস না।প্রিন্টার টা হাতে পাওয়ার সস্তি পেলাম।এক্কেবারে ইনটাকট ছিল।ভালোই চলছে। সেলার আবারও ধন্যবাদ পজিটিভ রেসপন্স জন্য।,1
প্রোডাক্ট ভালো Print Scan Copy Black and White Colour Print HP Smart App প্রিন্ট আরো সহজ দিয়েছে। মোবাইল HP Smart App প্রিন্ট Thanks Daraz,1
ভালো প্রিন্টার। ঠিকঠাক পেয়েছি। ধন্যবাদ সেলারকে।,1
মাশাল্লাহ প্রিন্টারটি সুন্দর হয়েছে। ধন্যবাদ সেলার ভাইকে। ‌,1
অস্থির একটা প্রিন্টার।Recommend,1
গতকাল হাতে পেলাম।ডেলিভারি স্বল্প সময়ের হয়েছে।প্যাকেজিং ভালো হয়েছে। যাক সর্ভিস কেমন একটা কার্টিজ ব্লাক রঙিন কতটি ফটোকপি হে,1
চমৎকার প্রিন্টার। বাসায় ব্যবহারের উপযুক্ত। একসাথেই প্রয়োজন মেটানো যায় বাইরে সময় নষ্ট না। প্যাকেজিং যাবতীয় বিষয় ঠিকঠাক পাঠানোর সেলারকে ধন্যবাদ।,1
করছি কোনো সমস্যা দেখিনাই। আসা ভালো প্রিন্টার পেয়েছি। ধন্যবাদ সেলার কে।,1
পন্যটির দাম অনুযায়ী ভালো ডেলিভারি ম্যান ভাইয়ের ভালো ছিলো ধন্যবাদ দারাজ,1
ভালো লাগলো। রিভিউ লিখছি। প্রিন্ট খুবই ভালো হচ্ছে।এই দামের মাঝে ভালো প্রডাক্ট। চাইলে আপনিও পারেন।,1
নন চ্যানেল প্রোডাক্ট। অরিজিনাল। ভালো প্রিন্ট হয়। ডেলিভারি দ্রুত করেছে।,1
ভালো মানের একটা প্রিন্টার সেলার ডেলিবারি মেনের খুবই ভালো। ধন্যবাদ।,1
আলহামদুলিল্লাহ প্রিন্টার হাতে ভালো লাগছে। প্রিন্টার অডার করেছিলাম পেয়েছি । Thanks for Daraz Online,1
ভালো একটা প্রিন্টার বছর যাবত ব্যাভার করছি সমস্যা নি।কম দামের ভালো প্রিন্টার।,1
একমাস রিভিউ দিচ্ছি। ভালো একদম আনবক্সিং অবস্থায় পেয়েছি সেলার ধন্যবাদ ভালো একটা প্রিন্টার জন্য।,1
আলহামদুলিল্লাহ প্রিন্টার টা ভালো নিয়েছি রিভিউ দিলাম,1
ভালোই,1
ভালো প্রডাক্ট ধন্যবাদ সেলারকে,1
আলহামদুলিল্লাহ চেয়েছি পেয়েছি । কম দামের সবচেয়ে ভালো প্রোডাক্ট । দারাজকে অসংখ্য ধন্যবাদ।,1
প্রিন্টার টির সবেই ভাল প্রিন্ট সময় লাগে একটা প্রিন্ট পেরায় মিনিট লাগে,2
আলহামদুলিল্লাহ মত হাতে পৌছে কার্টিজ গুলা পাওয়া নাহ যানি নাহ,1
অল্প দামের ভালোই হয়েছে,1
জিনিসটা ভালো পাইছি। একটা ক্রয় চাই,1
