cleaned,Sentiment
প্রথমত বলবো প্রোডাক্ট এর কোয়ালিটি এককথায় খুবই অসাধারণ  খুবই ডিসেন্ট একটা সাউন্ড পাওয়া যায় আর সেলারের প্রশংসা না করে পারছি না সেলার খুবই ভালো এবং রেসপন্সিভ সবাইকে রেকমেন্ড করছি এই সেলার ,1
মাত্র  ঘন্টায় ডেলিভারি যা এক কথায় অবিশ্বাস্য  প্রোডাক্ট এর প্যাকেট ছিল খুবই সুরক্ষিত  সম্পূর্ণ নতুন এবং ইন্টাক্ট প্যাকেট ছিল  পণ্যের মান যথেষ্ট ভালো  সাউন্ড কোয়ালিটি এক কথায় অসাধারণ  দামের সাথে তুলনা করলে পণ্যের মান যথেষ্ট ভালো  আমি অত্যন্ত খুশি এই প্রোডাক্টটি পেয়ে  ধন্যবাদ দারাজ এবং আন্তরিক মোবারকবাদ সেলার এর জন্য ,1
প্রায় একমাস ব্যবহারের পর রিভিউ দিচ্ছি  এই সেলার এর কাছ থেকে এটি আমার দ্বিতীয় অর্ডার  সেলার খুবই আন্তরিক এবং অমায়িক ব্যবহার অধিকারী  পণ্যটি খুবই ভালো  এটি ব্যবহার আরামদায়ক এবং এর সাউন্ড কোয়ালিটি অত্যন্ত উন্নতমানের  যারা                                ব্যবহার করার কথা ভাবছেন  তারা চোখ বন্ধ করে এই সেলার এর কাছ থেকে এই পণ্যটি নিতে পারেন  আশা করি কেউ ঠকবেন না  ,1
একটায় আস্তে আস্তে বাজে চারজ দুরুত শেশ হয়েচায় কথাবললে শব্দ কিলিয়ার জায়না,0
খুবই সুন্দর একটি প্রোডাক্ট আপনারাও চাইলে নিতে পারেন অল্প টাকার ভিতরে সাউন্ড কোয়ালিটি অনেক বেশি ভালো,1
এক কথায় বলতে গেলে অসাধারণ অতুলনীয়   আর আমি একজন   মিউজিসিয়ান  ড্রামার  হিসাবে বলতে পারি  কেও কিনতে চায়লে   আজে বাজে কিছু চিন্তা না করে নিরভাবনায় কিনতে পারেন  আর আমি   ভাই গ্যারান্টি দিয়ে বলতে পারি এতো কম বাজেটে এই রকম     ণেক হেড ফোন       কেও কিনতে পারেনি বা ব্যাবহার করেন নি    আমি বলবো৷ এক কথায় অসাধারণ৷ বেস  চার্জ অসাধারণ   আর সব থেকে মজার কথাটা এই ডিভাইস পানিতে ভিজাতে পারবেন  ভিজে গেলেও কোনো সমস্যা হবে না,1
আজকেই আমি হেডফোন টা নিছি তো চালু করতেই কোনে ধরনের মিউজিক সাউন্ড আসে না সো প্লিজ এমন যদি হয় তাহলে তো আর আপনাদের কোনো পন্য সামগ্রি আমি কিনবো না যদি সমবব হয় তাহলে আমার হেডফোন টা চেনজ করে দেন আমার আরো  টা প্রোডাক্ট অর্ডার করা আছে আমি এটার কোনো হেল্প না পেলে আমি ওই অডার কেনসেল করে দিব তাই প্লিজ আমাকে যানান কি করতে পারবেন,0
প্রোডাক্ট ঠিকি আছে  কোয়ালিটি ও ভালো       টা তুলনামূলক ভাবে অনেক কম  যারা      পছন্দ করেন না বা হাল্কা পছন্দ করেন তাদের জন্য এটা বেস্ট  তবে আমার মত যারা            তারা এটা না নিলে ভালো হবে  তাছাড়া                     আছে  ধন্যবাদ দারাজ এবং সেলার,1
গতকালই ক্যাশ অন ডেলিভারিতে কিনলাম  পাওয়ার অন অফ এবং ভলিউম বাটনে সমস্যা  বেশি জোরে এবং বেশি সময় ধরে চাপ দিয়ে অন অফ করতে হয়  আমি ত্রুটিযুক্ত এই ব্লুটুথ নেকব্যান্ডের পরিবর্তে অন্য আরেকটি নেকব্যান্ড চাই  অন্যথায় বাকি জীবনে কখনই আর দারাজ থেকে কোন পন্য কিনবো না আর কাউকে কেনার কথা বলবোও না ,0
পাচ দিন ব্যবহার করে আজ রিভিউ দিচ্ছি  সাউন্ড খুব ভালো ছিলো  ব্যাটারি ব্যাকাপ ও ভালো ছিলো  ঘন্টা চলতো  কিন্তু আজ এক কান নষ্ট হয়ে গেছে  হটাৎ করেই আর বাজতাছেনা৷ বিষয় টা খুব দুঃখ জনক ,0
আলহামদুলিল্লাহ প্রোডাক্টটা অনেক ভালো    দুই দিনের মধ্যে ডেলিভারি পাইছি   ডেলিভারি ম্যান অনেক ভালো  চার্জ থেকে ছয় ঘন্টা  ঘন্টা টিকে    সাউন্ড কোয়ালিটি অনেক ভালো      মধ্যে  দেওয়া যায়     আপনার নিতে পারেন ,1
দুই টা অর্ডার দিছি একটা ঠিক চলেতেছে আরেক টা একবার ওপেন হয়ে আর ওপেন হয়নি আর চার্জে দিলে অনেক গরম হয়,0
এই টাইপের  টা আছে   আমি এবার অন্যটাইপ চাইছিলাম  যেমন খুশি বাকিয়ে রাখাযায়   কিন্তু পূর্বের ন্যায় সিলিকন টাইপ দিয়েছে   সাথে  টা নারকেল তেলের মিনি প্যার দিয়েছে যার মেয়াদ    পর্যন্ত  ্্তবে          টা ভালো সব ঠিকাছে চার্জ ও ভালো থাকে  দামহিসাবে ঠিকঠাক ই বলবো   ,1
বহুত কাহিনি করে ডেলিভার দিলো জা দারাজের গাফলতি  জমিদারের বাচ্চাদের দিয়া ডেলিভারি দিলে যা হয় আর কি  প্রোডাক্ট খুবই ভালো  ছবির ডেলিভারি ম্যান আমাকে কল করে বলে ওমুক যায়গায় আসলে নিয়া যান নাইলে নাই এরপর  ঘন্টা অপেক্ষায় রেখেও আর দেয়নি  আসোলে দারাজে অর্ডার করেছি সেলারের প্রোডাক্ট ভালো দেখে নাইলে এই ইডিয়ট মার্কা প্লাটফর্ম থেকে অর্ডার করাই ভুল তবে প্রোডাক্ট খুবই ভালো,1
হঠাৎ করে অপ হয়ে গেছে আর অন হয় না  জীনিস টা অনেক ভাল আগে এমন হয় নি জিনিস তো অনেক কিনেছি ,1
প্রোডাক্ট খুবই ভাল   টাইমের দুই দিন আগে ডেলিভারি পাইছি   মাল্টিফাংশন কি এর কাজ খুবই ভাল লাগছে   সাউন্ড কোয়ালিটি যথেষ্ট ভাল   ব্যাটারি ব্যাকআপ খুবই ভাল   অভার ওল  এই দামে দারুন জিনিস  ,1
ভাই লাইফে প্রথম দারাজ থেকে অর্ডার করলাম                     আর প্রথম অর্ডারেই লম্বা বাশ   ব্লুটুথ অন ই হয় না   ঘন্টা চার্জ এর পরও  আর  টাকা বেশি দিয়া বাজার থেকেও এর চেয়ে হাজর গুন ভাল ব্লুটুথ কিনতে পারব   ,1
তাড়াতাড়ি হাতে পাইছি  প্রোডাক্টি খুব ভালো  কয়েকদিন ব্যবহার করে দেখলাম ব্যাটারি ব্যাকাপ ভালো দেয়   নিতে পারেন  ধন্যবাদ দারাজ ও সেলারকে    ,1
আলহামদুলিল্লাহ প্রত্যাশা অনুযায়ী পেয়েছি  ধন্যবাদ দারাজকে আশাকরি ভুক্তা চাহিদা এইভাবে পূরণ করে চলবে  তাছাড়া ডেলিভারি ম্যানের ব্যবহার মাশাল্লাহ ভালো  কিন্তু পণ্য হাতে পেয়ে যদি অরিজিনাল মনে না হয় তাহলে যেনো সরাসরি ডেলিভারি ম্যানের হাতে ফেরত দেওয়ার সুযোগ দেওয়া হয় এবং ডেলিভারি ম্যানকে যেনো বলে দেওয়া হয় ক্রেতাকে পণ্য যাচাইয়ের সুযোগ ও পণ্য দেখার সুযোগ দেওয়া হয় ,1
আমার কাছে ত ভালই লাগছে সাউন্ড কোয়ালিটি ও ভালো খুব  ব্যাটারি ব্যাকাপ ও খুব ভালো  ঘন্টা  ,1
হাতে পাওয়ার  দিন পর রিভিউ দিচ্ছি  সাউন্ড কোয়ালিটি অনেক ভালো  চার্জ ব্যাকআপ ও অনেক   টাকায় সেরা  তবে  মাঝে মাঝে কোন কাজ না করে শুধু ফোনের সাথে এড করে রাখলে  সেকেন্ডের জন্য ডিসকানেক্ট হয়ে যায় আবার কানেক্ট হয়  তাছাড়া কোন সমস্যা চোখে পরে নি ,1
অনেক সুন্দর এয়ার ফোনটি  দেখতেও সুন্দর  ব্যবহার করাও যাচ্ছে স্বাচ্ছন্দে  বেজও ঠিক আছে  কিন্তু   চার্জে নেমে গেলেই বন্ধ হয়ে যাচ্ছে  এয়ার ফোনটি কুরিয়ারের লোক দিয়েছে  দারাজের সেলার দেয় নি ,1
এত দ্রুত খুব ভাল একটা প্রোডাক্ট ডেলিভারির জন্য সেলারকে অসংখ্য ধন্যবাদ  এই সেলারের কাছ থেকে চোখ বন্ধ করে প্রোডাক্ট নেওয়া যায়  সবচেয়ে বেশি খুশি হয়েছি গিফট টা পেয়ে  চার্জ সার্ভিস অনেক ভালো দুই ঘন্টা চালিয়ে মাত্র   চার্জ শেষ হয়েছে   ধন্যবাদ দারাজ   সেলার   ডেলিভারি  ,1
 দিন ব্যাবহার করার পর   আজ বলছি সত্তি অসাধারন পন্য   আপনারা নির্ভয়ে নিতে পারেন   এবং সেলার কে অসংখ্য ধন্যবাদ  এতো সুন্দর প্রডাক্ট দেওয়ার জন্য  ,1
অসম্ভব সুন্দর একটি পন্য খুব ভালো লেগেছে সেলার কে ধন্যবাদ যে আমার অফিসে পৌঁছে দিয়ে গেছে  অন্য কারো যদি নিতে ইচ্ছে হয় নিয়ে নিতে পারেন খুব ভালো একটা পন্য ব্যবহার খুব ভালো আমি আজ ছয়দিন ব্যবহার করে তারপর কমেন্ট করলাম  ধন্যবাদ দারাজ কে  ছবি তোলা নাই আমার কাছে তাই আপলোড করলাম না ,1
সত্যিই অসাধারণ একটা জিনিস এক কথায় জোশ চার্জিং ও সাউন্ড কোয়ালিটি বেষ্ট আপনারা যে নিতে চান নিঃচিনতে নিতে পারেন  ধন্যবাদ দারাজ ও সেলারকে যা অর্ডার করেছি তাই পেয়েছি        ,1
প্যাকেটিং টা একটু খারাপ ছিল  পোডাক্ট যেমন চেয়েছি হাতে পেয়েছি  এখন        কয় ঘন্টা যাবে সেটা ব্যবহার করার পর বলতে পাবো  সব মিলে ভালোই আছে  কানেক্টেড হচ্ছে কিন্তু গান বা কিছু শুনতে পারছি না  ৷ কি প্রোবলেম,1
খুব ভাল একটি প্রোডাক অল্প দামে আমি নিছি কিসু দিন আগে এখনো কোনো সমস্যা হয়নি খুব ভাল চলতে ছে আমি খুব কম সময়ের মধ্যে ই পেয়েছি  ধন্যবাদ দারাজ কে ,1
দ্বিতীয় বার কিনলাম প্রডাক্ট কোয়ালিটি নিয়ে কিছু বলার নেই অনেক ভালো একটি প্রডাক্ট এর দামে  তাছারা সাউন্ড কোয়ালিটি  বেজ কোয়ালিটি  চার্জ ব্যাকাপ সব মিলে                 ,1
দুই একসাথে অর্ডার করেছিলাম একটা ভালো পাইছি আরেকটা চার্জ হয়না তাই একটা পন্য রিটার্ন করে দিবো ,0
এই বাজেডে  আমি বলব অনেক ভাল একটা প্রোডাক্ট  বেস অনেক ভাল চার্জ        অনেক ভাল  একবার ফুল চার্জ করলে  থেকে  ঘন্টা একটানা চালানো যায়                একটু                      কয়েক             পরে শোনা য়ায়  সব মিলিয়ে  আমি        আমি এই রেন্জে এমন একটা প্রোডাক্ট ই খুজতেছিলাম ,1
ধন্যবাদ দারাজ  সেলার ও ডেলিভারি ম্যান কে খুব সুন্দর পণ্য দেওয়ার জন্য এক কথায় অসাধারণ এই দামে সবকিছু ঠিকঠাক প্যাকেজিং টাও অস্থির  আমার মন্তব্য দেখে কেউ গান শোনার জন্য এটা নিলে এর জন্য আমি দায়ী না  কারন গান শোনা হারাম,1
প্যাকেজিং টা একেবারেই খারাপ ছিলো এমন প্যাকেজিং দেখেই বমি চলে আসছিলো বাট আসল প্রডাক্ট টি খুবই সুন্দর লাগছে আমার কাছে তবে কথা বলার সময় সাউন্ড ক্লিয়ার আসে না তাছারা সাউন্ড কোয়ালিটি চার্জ অনেক সময় থাকে  ঘন্টা চার্জ দিয়ে একটানা  ঘন্টা চালায়ছি আপনারা চাইলে নিতে পারেন ঠকবেন না তবে সেলারের রেস্পন্স খুবই খারাপ,2
ছবির সাথে পুরাপুরি মিল রয়েছে  অসাধারন সাউন্ড  আমি প্রডাক্টের কোয়ালিটিতে অনেক খুশি ,1
নেক ব্যান্ড সহ আরো দুটি প্রোডাক্ট মাত্র  দিনে হাতে পেয়েছি  নেক ব্যান্ড টা অনেক সুন্দর এবং অনেক সময় ব্যবহার করে স্বাচ্ছন্দ বোধ করছি  যে কেউ নিঃসন্দেহে নিতে পারেন ,1
আলহামদুলিল্লাহ টাই             ছিল   কিন্তু কালো টাই                    পাইনি  আর সাউন্ড কোয়ালিটি ঠিকই ছিল   আর টা প্রোডাক্ট টি ভিন্ন লোকেশন থেকে আসছে    আর টি প্রোডাক্ট কোয়ালিটিও ভিন্ন রকম  সবমিলিয়ে আমার লাল টাই বেশি ভাল লাগছে  আর টার ওজন রকম ছিল  আর ব্যাটারি ব্যাকআপ   ঘন্টা পেয়েছি   ,1
আলহামদুলিল্লাহ অনেক ভাল  এখন দেখা যাক চাজ বেকাব কেমন দেয়  আর পাকেট এর মান খুব খারাপ   প্যাকেট এর মান উন্নত করতে হবে ,1
অসংখ্য ধন্যবাদ দারাজকে  অর্ডার করার  দিনের মাঝেই প্রোডাক্ট হাতে পেলাম  অনেক ভালো মানের প্রোডাক্ট এবং প্যাকেটিং আনেক ভালো ছিল  আপনারাও নিতে পারেন ,1
অনেক অনেক ধন্যবাদ এক কথায় যেমনটা চেয়েছি তার চাইতেও ভালো পেয়েছি অনেক ধন্যবাদ জাহান টেলিকম এবং দারাজ কে সব মিলিয়ে অসাধারণ চার্জ ব্যাকআপ অনেক সুন্দর প্রায়  ঘন্টা সাউন্ড কোয়ালিটি খুবই ভালো নিঃসন্দেহে চোখ বুঝে অর্ডার করা যায় চাইলে আপনারাও নিতে পারেন,1
এক কথায় অসাধারণ  এতো অল্প টাকায় এতো ভালো পন্য ভাবা যায় না দোকানে যোগাযোগ করছিলাম দুই নাম্বারটা টাকা দাম চায় আর মাএ টাকায় অরিজিনাল   খুবই ভালে প্রডাক্ট   যে কেও নিতে পারেন    তবে অর্ডার করার পুর্বে ভালো করে যাচাই করে নিবেন ,1
আলহামদুলিল্লাহ খুব ভালো একটি প্রোডাক্ট হাতে পেয়েছি যেমনটা চেয়েছিলাম তেমনটাই পেয়েছি এখন দেখার বিষয় এটা কয়দিন যায়  মাত্র দুই দিনের মধ্যে প্রোডাক্ট টি হাতে পেয়েছি  ধন্যবাদ দারাজ এবং সেলারকে এত ভালো জিনিস দেওয়ার জন্য,1
আসোলে এতো সুন্দর একটা প্রডাক্ট পেয়ে আমি দারুন হ্যাপি  অনেক অনেক অনেক ভালো একটা প্রডাক্ট আপনারা যে কেউ নিতে পারেন আশা করি আপনার ও ভালো লাগবে ,1
অসাধারণ একটা প্রোডাক্ট  নিঃসন্দেহে কিনতে পারেন  সাউন্ড কোয়ালিটি অনেক ভালো  চার্জ কোয়ালিটি অনেক ভালো সাত ঘন্টা আট ঘন্টা ঘন্টা যায় ,1
অর্ডার করার দিনের মধ্যে পেয়েছি  তবে রিভিউ টা দেরিতে করছি   দারাজে এটা ছিল আমার প্রথম অর্ডার  একটু চিন্তায় ছিলাম সঠিক জিনিসটা পাবো কিনা  তবে সঠিক জিনিসটা পেয়েছি  আর এই টাকার মধ্য ইয়ারফোন টা দারুন তবে বেজ টা আরো ভালো হাওয়া দরকার ছিলো ,2
আলহামদুলিল্লাহ  টাকায় অনেক ভালো পন্য পেয়েছি   আমি আগেও এইগুলো ব্যবহার করেছি  আপনারাও চাইলে নিতে পারেন   সেলার ভাইর সাথে মাঝে মাঝেই দেখা হয় এই সুবাদে ভাই ও অনেক ভালো ,1
দাম অনুযায়ী নেকবান্ড টি অনেক ভালো  এই দামের মধ্যে এত সুন্দর একটা প্রোডাক্ট পাবো আশা করি নাই  সাউন্ড বেজ অনেক ভালো  কল কোয়ালিটি দাম অনুযায়ী ঠিক আছে চার্জিং টাইম পেয়েছি   ঘণ্টার মতো            করার মতো প্রডাক্ট ,1
যেরকম চেয়েছি সে রকমই পেয়েছি খুব সুন্দর একটা ইয়ারফোন কিন্তু বিট টা আর একটু ভালো হলে খুব সুন্দর হতো  আর একটা জিনিষ খুব খারাপ লাগলো ডেলিভারি টা  দিন পর পেয়েছি   ,2
মনিটরটি অনেক ভাল  খুব সুন্দর দামেই পেয়েছি  দারুণ ব্যাপার হল এই মনিটরটি  হার্জ সাপর্ট করে যেটা কোথাও উল্লেখ নাই  সবাই নিতে পারেন ,1
প্যাকেজিং খুবই ভালো এবং দ্রুততম ডেলিভারি  এ পর্যন্ত মনিটরের সবকিছু ঠিকঠাক পাইছি আলহামদুলিল্লাহ  এখন কিছুদিন ব্যবহার করে আরো বলতে পারব  ধন্যবাদ সংশ্লিষ্ট সবাইকে ,1
আমি অনেক আশা করে দারাজ থেকে মনিটরটি অর্ডার করেছিলাম  কিন্তু দারাজ আমাকে ত্রুটিপূর্ন মনিটর দিয়েছে  আমাকে ডেলিভার্ডকৃত মনিটরের বাম পাশে কালো অংশ বিদ ্যমান  তাই সকল ভাইবোনদের সাবধান করছি দারাজ থেকে বুঝে শুনে পন ্য কিনবেন  আমি এটি রিটার্ন করব  দারাজের দৃষ্টি আকর্ষণ করছি প্লিজ রিপলাই দিন ,0
আলহামদুলিল্লাহ অনেক ভালো চাইলে নিতে পারেন    ,1
টা মনিটর নিয়েছি আলহামদুলিল্লাহ দুইটা প্রোডাক্ট খুবই ভালো এবং খুবই দ্রুত সময়ে ডেলিভারি পেয়েছি  অসংখ্য ধন্যবাদ সেলার এবং দারাজ কে,1
এক্সিলেন্ট মনিটর বর্ডলেস হওয়াতে দেখতে অনেক সুন্দর আমি এক সপ্তাহ ধরে ব্যবহার করছি কোন সমস্যা নেই আপনারা ও নিতে পারেন,1
দারুন মনিটর  বডার গুলো মেটাল  এক কথায় অসাধারণ ,1
সব কিছু ঠিকঠাক আছে  ব্যবহার করছি প্রায়  সপ্তাহ  সব চেয়ে কম দামে  বাজারের সব চেয়ে বড় মনিটর ,1
আলহামদুলিল্লাহ  এই দামে  ইঞ্চি মনিটর পেয়ে সন্তুষ্ট  আজ প্রায় এক মাস ব্যবহার করে রিভিউ দিচ্ছি  কোনো নেগিটিভ ইস্যু পাইনি  ব্রাইটনেছ ছিলো যথেষ্ট ব্রাইট  পাশাপাশি খুব অল্প সময়ের ব্যবধানে ডেলিভারি পাই  কিন্তু মন খারাপের বিষয় হলো মনিটরের সাথে কোনো ক্যাশম্যামো  ওয়ারেন্টি রিসিট বা কোনো প্রকার ক্রয়ের প্রমাণপত্র পাইনি  পরবর্তীতে কিভাবে বিক্রয় পরবর্তী সেবা পাবো সে নিয়ে চিন্তিত  ,2
ভালো একটি মনিটর  ব্যবহার করার পরে রিপ্লাই দিলাম,1
কম বাজেটে ভালো মানের মনিটর পেলাম ধন্যবাবাদ দারাজ সেলার কে,1
খুব ভালো একটা মনিটর,1
খুবই ভালো মানের মনিটর আমার পছন্দের একটি মনিটর পাইছি ধন্যবাদ,1
আমার কাছে খুবই ভালো লাগছে ব্যবহার করছি ভবিষ্যতে আরো বলতে পারব,1
প্রোডাক্ট অরজিনাল  কোয়ালিটি  ,1
এক কথায় অসাধারণ,1
মনিটরটি অরিজিনাল ,1
আলহামদুলিল্লাহ এই বাজেটের ভিতরে অনেক সুন্দর একটি মনিটর  অনেক তাড়াতাড়ি ডেলিভারি দিয়েছে আপনারা চাইলে নিতে পারেন,1
মনিটর টা নিলাম  মাস ও হয়নি  আজকে  দিন হইসে  এখনই লাইন পড়ে গেল  কেউ কিনবেন না এই শপ থেকে ,0
সার্ভিসিং করা বাজে ডিসপ্লে মনিটর দিয়েছে   ডিসপ্লেতে দাগ চলে আসছে নতুন মনিটরে পুরাই বাজে  আমাকে অর্ডার রিসিভ করে রিটার্ন করতে ঝামেলা পোহাতে হল ফাও ফাও   দয়া করে আপনার আপনাদের কেনার আগে বুঝে তারপরে কিনবেন,0
মাত্রই হাতে পেলাম     পেকিং ভালই     এখন পারফরমেন্স এর উপরে বাকিটা নির্ভর করে ,1
ভালো নিতে পারেন,1
আলহামদুলিল্লাহ অর্ডার করার একদিন পরই ডেলিভারি পাইছি  প্যাকেজিং ভালো ছিলো কোন প্রবলেম ছিলো না চালু করার পরও সব ঠীক ঠাক ধন্যবাদ সেলারকে ,1
 টাকায় ঠিকই ছিল কিন্তু কিনার পর তারা আরও দাম কমাইছে তাই খারাপ লাগেতছিল  তবে আমার    এবং    দুইটাই চালানো হইছে এবং হচ্ছে  আগে    চালাইছি এখন     তবে আমার মতে আমি    কে আগায় রাখব                 এ    আগায় থাকবে আমার কাছে  তবে এটাও যথেষ্ট পরিমান ভাল  সেলারকে ধন্যবাদ,1
আলহামদুলিল্লাহ ভালো জিনিস পেয়েছি   বাজারের  চাইতে কিছুটা হলেও কম মূল্যে  আশা করি ওয়ারেন্টি নিয়েও কোন ধরনের প্রবলেম ফেস করতে হবে না                    ছিল বেশ রেস্পন্সিব হেল্প পেয়েছি  ধন্যবাদ       এবং দারাজকে               তবে যাদের বাজেট কম তারা       টা নিতে পারেন ,1
এই বাজেটে ওয়ান অব দ্যা বেস্ট মনিটর    আগে        ইউজ করতাম  দুইটা মনিটর ই বাজেটের মধ্যে সেরা     ধন্যবাদ দারাজ এবং রায়ান্স কে দিনের মধ্যেই ঠিকঠাক মতো পাঠিয়ে দেওয়ার জন্যে  কোনো ডেড পিক্সেল  স্টাক পিক্সেল ইস্যু পাই নি  এটা নিয়ে অনেক ভয় ছিলো কিন্তু মনিটর ব্যবহার করার পর ভয় কেটে গেছে  রায়ান্সের উচিত আরো বেশি বেশি কম্পিউটার রিলেটেড প্রোডাক্ট দারাজে এড করা  যেমন সিপিউ কুলার  স্পিকার ইত্যাদি   ,1
আলহামদুলিল্লাহ  অনেক ভাল একটা মনিটর পেয়েছি  আগে এলসিডি মনিটর ইউজ করতা  তখন মনিটরে এক্যুরেট কালার বুঝা যেত না  কিন্তু এটাতে নিঁখুতভাবে সব বোঝা যায়  তাছাড়া এই মনিটর দেখতেও অনেক সুন্দর  বর্ডারলেস  মিনিমাম চিন এবং সাইড একেবারে পাতলা হওয়ায় মনিটরটি দেখতে আরো বেশি ভাল লাগে ,1
আমাদের রুমা বাজারে সব জিনিস গুলো আসেনা   কারণ ঢাকা থেকে বান্দরবান পর্যন্ত কুরিয়ার মাধ্যমে চলে আসে  তারপর কুরিয়ার সার্ভিস ম্যানরা ফোন করে জানান যে বান্দরবান এসে নিয়ে নিতে হবে  নিতে না আসলে রুমাতে পণ্য গুলো পাঠানো ব্যবস্থা করে না  আবার ফেরত পাঠানো হয়  কারণ আমি কাস্টমার কেয়ার সাথে চ্যাট করার পর রুমা চলে আসে  আমি পণ্য হাতে পেয়ে খুশি হলাম  পণ্যটি খুবই ভালো  ,1
সব কিছু মিলিয়ে সর্বোচ্চ ভাল পেয়েছি  ধন্যবাদ  আইপিএস ডিসপ্লে সেই হয়েছে,1
 দিন পর মতামত দিলাম          বলতে গেলে ভালই ছিল   রেসপন্স টাইম আর একটু ভালো হলে                    বলা যাতো কিন্তু প্রাইস বিবেচনা করলে এই প্রাইজে এর যেতে ভালো মনিটর কোন কোম্পানি দিতে পারবে বলে আমার মনে হয় না,1
অনেক সুন্দর একটা প্রডাক্ট  যেমন চেয়েছি তেমন পেয়েছি  ধন্যবাদ সবাইকে যত্নসহকারে পৌছায় দেওয়ার জন্য  ,1
আলহামদুলিল্লাহ  প্রোডাক্টটি অনেক ভালো   ছয় মাস ব্যবহার করে তারপর রিভিউ দিচ্ছি     ,1
যেমন আশা করেছিলাম ঠিক তেমনি  অসাধারণ প্যাকেজিং  ডেলিভারি ম্যান আরো ভালো  অনেক অনেক ধন্যবাদ         কে তাদের কথা রাখার জন্য  ,1
প্রায়   মাস ব্যাবহার করার পরে রিভিউ দিচ্ছি  আলহামদুলিল্লাহ কোনো সমস্যা হয়নি  সব কিছুই ঠিকঠাক চলছে     ,1
আলহামদুলিল্লাহ  ভাল পেয়েছি  সেলারদের আচরন ও ভাল ছিল  কয়েকদিন ব্যবহার করার পর দেখি কি হয় ,1
 টাকায় কিনতে পেরেছি  দোকানের চেয়ে প্রায়  টাকা কমে পেয়েছি  ডেলিভারি চার্জ ছিল  টাকা  প্রায়  মাস ব্যবহারের পর রিভিজ দিচ্ছি  সার্ভিস ভাল দিচ্ছে  ইনশাআল্লাহ কোনো সমস্যা দেখা দিবে না ,1
খুবি ভালো  সঠিক পন্য পেয়েছি  পন্যটি ইনটেক ছিল  ঈদের কারনে ডেলিভারিতে একটু দেরি হয়েছে  আপনারা নিতে পারেন ,1
খুব ভলো প্যাকেজিং ছিলো রায়ানস এর কাছ থেকে যেমন প্রত্যাশা ছিলো ঠিক তেমনই পেয়েছি মনিটরটি এই বাজেটে সেরা  ,1
রেইন্স থেকে এমনিও আমার টুকটাক কিনা কাটা থাকেই  তাদের সার্ভিস ভাল  সবকিছু ঠিকঠাক ভাল পেয়েছি  তবে একটা সাজেস্ট থাকবে মনিটরের বক্সের উপর আরেকটা বক্সিং করে প্যাকেজিং করলে ভাল হত ,1
ভসব কিছু ঠিক ঠাক ছিল  ধন্যবাদ,1
আলহামদুলিল্লাহ অনেক সুন্দর ভালো ভাবেই ডেলিভারি পেলাম কোন সমস্যা নাই  ধন্যবাদ       এবং ডেলিভারি ম্যান ,1
অনেক অনেক ধন্যবাদ রায়ান্সগো শপ ও ডারাজ কে  খুব ভয়ে ছিলাম প্রোডাক্ট ডেলিভারি নিয়ে  প্যাকেটিং  ডেলিভারি  প্রোডাক্ট কোয়ালিটি সব কিছু নিয়ে সন্তুষ্ট  বাজেট রেঞ্জে অসাধারণ একটা ডিভাইস ,1
সময় মতো ডেলীভারি দিয়েছে   প্যাকেজিং যথেষ্ট ভালো ছিল   ইউজ এর  মাস পরে রিভিউ করলকম ,1
অনেক ভালো মানের মনিটর  টাকা ডিসকাউনটে কিনেছি  কোয়ালিটি বিবেচনায় কিনতে পারেন ,1
প্রডাক্টটি ভালো এবং অথেন্টিক মনে হচ্ছে  সময়মতো ডেলিভারি পেয়েছি  কিছুদিন ব্যবহার করার পরে ভালোভাবে সবকিছু বুঝা যাবে ,1
ধন্যবাদ দারাজ ,1
সব মিলিয়ে দারুন একটা মনিটর ,1
আলহামদুলিল্লাহ সবকিছু ঠিকঠাক আছে  বাজার থেকে কিছু টাকা কত পেয়েছি ,1
প্রোডাক্ট ভালভাবেই পেয়েছি ধন্যবাদ ,1
অনেক ভালো ধন্যবাদ দারাজকে,1
ভালোভাবেই প্যাকেজ করে পাঠিয়েছেন  বাট ডেলিভারিম্যান ভালো ছিল না  আমার লোকেশনে আসে নাই  ৳ ভাড়া দিয়ে আনতে হইছে তাহলে লাভ কী হোম ডেলিভারির   দিনের মধ্যে পেয়েছি  অসংখ্য ধন্যবাদ  কিন্তু ডেলিভারি বয় দেখেশুনে রাখিয়েন সব জায়গায়  ,2
মনিটর টা ভালই ছিল কিন্তু বউ এর সাথে রাগ করে য় দিন ভেঙ্গে ফেলেছি তাই রিভিউ কি দিবো   ,1
 তারিখে অর্ডার করেছিলাম  তারিখে দারাজ থেকে কল করে কনফার্ম ও করা ছিল  দিন পর অর্ডারের অবস্থা দেখতে গিয়ে দেখি অর্ডার ক্যান্সেল পণ্য আপাতত ঠিক আছে ,0
মোটামুটি দাম একটু বেশি এর থেকে কম দামে বাহিরে পন ্য পাওয়া যায় ডেলিভারি চার্জও একটু বেশি   ,0
এই প্রাইস রেঞ্জের থেকে ভালো মনিটর হয়ে না    যদি ভালো ফুল কোয়ালিটি পেতে চান নেট ক্লিক থাকলে নেট ফিলিংস দেখতে পারে পুরা   তে দেখা যায় যদি আপনার ডিভাইস সাপোর্ট করে আর কি অনেক ভালো কোয়ালিটির মনিটর আমার মোবাইল থেকেও চিকন  ,1
